SKU,LOC,FECHA,UNI
Art01,LOC_004,4/5/2019,4
Art01,LOC_004,6/5/2019,4
Art01,LOC_004,7/5/2019,4
Art01,LOC_004,9/5/2019,6
Art01,LOC_004,12/5/2019,1
Art01,LOC_004,15/5/2019,3
Art01,LOC_004,16/5/2019,2
Art01,LOC_004,17/5/2019,3
Art01,LOC_004,18/5/2019,3
Art01,LOC_004,19/5/2019,3
Art01,LOC_004,21/5/2019,3
Art01,LOC_004,22/5/2019,6
Art01,LOC_004,23/5/2019,3
Art01,LOC_004,27/5/2019,5
Art01,LOC_004,30/5/2019,4
Art01,LOC_004,3/6/2019,2
Art01,LOC_004,4/6/2019,2
Art01,LOC_004,5/6/2019,3
Art01,LOC_004,6/6/2019,2
Art01,LOC_004,7/6/2019,3
Art01,LOC_004,8/6/2019,3
Art01,LOC_004,9/6/2019,3
Art01,LOC_004,12/6/2019,5
Art01,LOC_004,13/6/2019,1
Art01,LOC_004,16/6/2019,2
Art01,LOC_004,17/6/2019,3
Art01,LOC_004,18/6/2019,1
Art01,LOC_004,19/6/2019,4
Art01,LOC_004,21/6/2019,2
Art01,LOC_004,22/6/2019,2
Art01,LOC_005,1/4/2019,1
Art01,LOC_005,2/4/2019,2
Art01,LOC_005,3/4/2019,3
Art01,LOC_005,4/4/2019,6
Art01,LOC_005,10/4/2019,10
Art01,LOC_005,12/4/2019,6
Art01,LOC_005,15/4/2019,6
Art01,LOC_005,20/4/2019,9
Art01,LOC_005,23/4/2019,3
Art01,LOC_005,24/4/2019,4
Art01,LOC_005,26/4/2019,1
Art01,LOC_005,27/4/2019,2
Art01,LOC_005,28/4/2019,1
Art01,LOC_005,29/4/2019,3
Art01,LOC_005,8/5/2019,6
Art01,LOC_005,13/5/2019,6
Art01,LOC_005,14/5/2019,2
Art01,LOC_005,15/5/2019,1
Art01,LOC_005,20/5/2019,6
Art01,LOC_005,22/5/2019,3
Art01,LOC_005,25/5/2019,3
Art01,LOC_005,27/5/2019,6
Art01,LOC_005,30/5/2019,3
Art01,LOC_005,3/6/2019,2
Art01,LOC_005,4/6/2019,1
Art01,LOC_005,7/6/2019,3
Art01,LOC_005,11/6/2019,4
Art01,LOC_005,12/6/2019,3
Art01,LOC_005,14/6/2019,1
Art01,LOC_005,15/6/2019,2
Art01,LOC_005,16/6/2019,3
Art01,LOC_005,19/6/2019,5
Art01,LOC_006,3/4/2019,3
Art01,LOC_006,13/4/2019,3
Art01,LOC_006,24/4/2019,6
Art01,LOC_006,3/5/2019,3
Art01,LOC_006,4/5/2019,3
Art01,LOC_006,8/5/2019,3
Art01,LOC_006,27/5/2019,3
Art01,LOC_006,14/6/2019,3
Art01,LOC_007,4/4/2019,3
Art01,LOC_007,16/4/2019,3
Art01,LOC_007,12/5/2019,2
Art01,LOC_007,6/6/2019,3
Art01,LOC_007,10/6/2019,3
Art01,LOC_007,12/6/2019,3
Art01,LOC_007,16/6/2019,3
Art01,LOC_007,18/6/2019,1
Art01,LOC_007,19/6/2019,3
Art01,LOC_007,21/6/2019,2
Art01,LOC_007,23/6/2019,6
Art01,LOC_008,1/4/2019,2
Art01,LOC_008,23/4/2019,2
Art01,LOC_008,25/4/2019,3
Art01,LOC_008,2/5/2019,3
Art01,LOC_008,30/5/2019,3
Art01,LOC_009,8/6/2019,2
Art01,LOC_009,9/6/2019,1
Art01,LOC_009,14/6/2019,2
Art01,LOC_010,13/4/2019,2
Art01,LOC_010,8/5/2019,3
Art01,LOC_010,10/5/2019,1
Art01,LOC_010,13/5/2019,1
Art01,LOC_010,23/5/2019,1
Art01,LOC_010,24/5/2019,1
Art01,LOC_010,25/5/2019,1
Art01,LOC_010,2/6/2019,3
Art01,LOC_010,7/6/2019,3
Art01,LOC_010,10/6/2019,2
Art01,LOC_010,11/6/2019,1
Art01,LOC_010,15/6/2019,3
Art01,LOC_010,20/6/2019,2
Art01,LOC_010,22/6/2019,2
Art01,LOC_011,3/4/2019,1
Art01,LOC_011,5/4/2019,3
Art01,LOC_011,7/4/2019,3
Art01,LOC_011,11/4/2019,6
Art01,LOC_011,22/4/2019,3
Art01,LOC_011,24/4/2019,2
Art01,LOC_011,26/4/2019,1
Art01,LOC_011,7/5/2019,3
Art01,LOC_011,9/5/2019,1
Art01,LOC_011,15/5/2019,3
Art01,LOC_011,16/5/2019,2
Art01,LOC_011,17/5/2019,3
Art01,LOC_011,24/5/2019,1
Art01,LOC_011,27/5/2019,5
Art01,LOC_011,28/5/2019,2
Art01,LOC_011,30/5/2019,6
Art01,LOC_011,2/6/2019,3
Art01,LOC_011,4/6/2019,1
Art01,LOC_011,8/6/2019,6
Art01,LOC_011,10/6/2019,9
Art01,LOC_011,13/6/2019,2
Art01,LOC_011,14/6/2019,1
Art01,LOC_011,15/6/2019,1
Art01,LOC_011,16/6/2019,3
Art01,LOC_011,18/6/2019,3
Art01,LOC_011,20/6/2019,2
Art01,LOC_012,1/4/2019,1
Art01,LOC_012,4/4/2019,3
Art01,LOC_012,6/4/2019,4
Art01,LOC_012,7/4/2019,2
Art01,LOC_012,8/4/2019,3
Art01,LOC_012,12/4/2019,6
Art01,LOC_012,15/4/2019,3
Art01,LOC_012,18/4/2019,3
Art01,LOC_012,20/4/2019,3
Art01,LOC_012,22/4/2019,3
Art01,LOC_012,28/4/2019,3
Art01,LOC_012,29/4/2019,6
Art01,LOC_012,30/4/2019,4
Art01,LOC_012,1/5/2019,2
Art01,LOC_012,3/5/2019,6
Art01,LOC_012,7/5/2019,1
Art01,LOC_012,8/5/2019,14
Art01,LOC_012,9/5/2019,1
Art01,LOC_012,12/5/2019,9
Art01,LOC_012,13/5/2019,3
Art01,LOC_012,15/5/2019,9
Art01,LOC_012,16/5/2019,3
Art01,LOC_012,17/5/2019,9
Art01,LOC_012,19/5/2019,3
Art01,LOC_012,20/5/2019,6
Art01,LOC_012,24/5/2019,1
Art01,LOC_012,25/5/2019,1
Art01,LOC_012,28/5/2019,1
Art01,LOC_012,29/5/2019,6
Art01,LOC_012,30/5/2019,2
Art01,LOC_012,31/5/2019,3
Art01,LOC_012,1/6/2019,7
Art01,LOC_012,2/6/2019,1
Art01,LOC_012,4/6/2019,2
Art01,LOC_012,6/6/2019,1
Art01,LOC_012,7/6/2019,10
Art01,LOC_012,8/6/2019,4
Art01,LOC_012,10/6/2019,1
Art01,LOC_012,12/6/2019,3
Art01,LOC_012,13/6/2019,1
Art01,LOC_012,15/6/2019,15
Art01,LOC_012,19/6/2019,1
Art01,LOC_012,20/6/2019,2
Art01,LOC_012,21/6/2019,4
Art01,LOC_012,22/6/2019,4
Art01,LOC_012,23/6/2019,3
Art01,LOC_013,1/4/2019,1
Art01,LOC_013,2/4/2019,1
Art01,LOC_013,4/4/2019,3
Art01,LOC_013,6/4/2019,4
Art01,LOC_013,8/4/2019,1
Art01,LOC_013,10/4/2019,3
Art01,LOC_013,11/4/2019,1
Art01,LOC_013,15/4/2019,1
Art01,LOC_013,20/4/2019,6
Art01,LOC_013,23/4/2019,2
Art01,LOC_013,27/4/2019,3
Art01,LOC_013,29/4/2019,3
Art01,LOC_013,3/5/2019,1
Art01,LOC_013,4/5/2019,2
Art01,LOC_013,6/5/2019,2
Art01,LOC_013,7/5/2019,6
Art01,LOC_013,9/5/2019,3
Art01,LOC_013,11/5/2019,3
Art01,LOC_013,13/5/2019,9
Art01,LOC_013,16/5/2019,3
Art01,LOC_013,17/5/2019,4
Art01,LOC_013,18/5/2019,5
Art01,LOC_013,21/5/2019,5
Art01,LOC_013,22/5/2019,1
Art01,LOC_013,24/5/2019,3
Art01,LOC_013,26/5/2019,6
Art01,LOC_013,28/5/2019,2
Art01,LOC_013,30/5/2019,2
Art01,LOC_013,31/5/2019,3
Art01,LOC_013,7/6/2019,1
Art01,LOC_013,9/6/2019,4
Art01,LOC_013,10/6/2019,1
Art01,LOC_013,14/6/2019,3
Art01,LOC_013,15/6/2019,1
Art01,LOC_013,17/6/2019,2
Art01,LOC_013,18/6/2019,1
Art01,LOC_013,19/6/2019,5
Art01,LOC_013,21/6/2019,1
Art01,LOC_013,22/6/2019,3
Art01,LOC_014,14/5/2019,1
Art01,LOC_015,2/4/2019,3
Art01,LOC_015,12/4/2019,3
Art01,LOC_015,21/4/2019,3
Art01,LOC_015,25/4/2019,3
Art01,LOC_015,2/5/2019,6
Art01,LOC_015,7/5/2019,3
Art01,LOC_015,23/5/2019,3
Art01,LOC_015,8/6/2019,3
Art01,LOC_016,2/4/2019,2
Art01,LOC_016,10/4/2019,3
Art01,LOC_016,17/4/2019,1
Art01,LOC_016,19/4/2019,3
Art01,LOC_016,30/4/2019,1
Art01,LOC_016,10/5/2019,2
Art01,LOC_016,21/5/2019,3
Art01,LOC_016,25/5/2019,3
Art01,LOC_016,31/5/2019,1
Art01,LOC_016,4/6/2019,4
Art01,LOC_016,7/6/2019,1
Art01,LOC_016,9/6/2019,3
Art01,LOC_016,10/6/2019,1
Art01,LOC_016,11/6/2019,6
Art01,LOC_016,12/6/2019,3
Art01,LOC_016,14/6/2019,6
Art01,LOC_016,15/6/2019,2
Art01,LOC_016,16/6/2019,1
Art01,LOC_016,19/6/2019,1
Art01,LOC_016,20/6/2019,1
Art01,LOC_016,23/6/2019,11
Art01,LOC_017,2/4/2019,1
Art01,LOC_017,3/4/2019,2
Art01,LOC_017,5/4/2019,6
Art01,LOC_017,6/4/2019,1
Art01,LOC_017,10/4/2019,4
Art01,LOC_017,13/4/2019,1
Art01,LOC_017,14/4/2019,5
Art01,LOC_017,21/4/2019,3
Art01,LOC_017,22/4/2019,3
Art01,LOC_017,27/4/2019,2
Art01,LOC_017,28/4/2019,1
Art01,LOC_017,4/5/2019,3
Art01,LOC_017,5/5/2019,2
Art01,LOC_017,20/5/2019,3
Art01,LOC_018,2/4/2019,3
Art01,LOC_018,4/4/2019,1
Art01,LOC_018,6/4/2019,2
Art01,LOC_018,7/4/2019,3
Art01,LOC_018,8/4/2019,1
Art01,LOC_018,11/4/2019,1
Art01,LOC_018,12/4/2019,1
Art01,LOC_018,13/4/2019,1
Art01,LOC_018,15/4/2019,4
Art01,LOC_018,16/4/2019,1
Art01,LOC_018,17/4/2019,3
Art01,LOC_018,24/4/2019,2
Art01,LOC_018,28/4/2019,1
Art01,LOC_018,29/4/2019,5
Art01,LOC_018,1/5/2019,4
Art01,LOC_018,5/5/2019,2
Art01,LOC_018,6/5/2019,2
Art01,LOC_018,7/5/2019,1
Art01,LOC_018,8/5/2019,1
Art01,LOC_018,9/5/2019,1
Art01,LOC_018,10/5/2019,1
Art01,LOC_018,11/5/2019,1
Art01,LOC_018,12/5/2019,2
Art01,LOC_018,14/5/2019,1
Art01,LOC_018,15/5/2019,1
Art01,LOC_018,17/5/2019,3
Art01,LOC_018,19/5/2019,1
Art01,LOC_018,20/5/2019,2
Art01,LOC_018,21/5/2019,1
Art01,LOC_018,22/5/2019,1
Art01,LOC_018,23/5/2019,2
Art01,LOC_018,24/5/2019,3
Art01,LOC_018,29/5/2019,4
Art01,LOC_018,1/6/2019,5
Art01,LOC_018,6/6/2019,3
Art01,LOC_018,7/6/2019,3
Art01,LOC_018,8/6/2019,1
Art01,LOC_018,9/6/2019,1
Art01,LOC_018,15/6/2019,2
Art01,LOC_018,17/6/2019,10
Art01,LOC_018,18/6/2019,1
Art01,LOC_018,20/6/2019,1
Art01,LOC_018,21/6/2019,2
Art01,LOC_018,22/6/2019,1
Art01,LOC_019,2/4/2019,3
Art01,LOC_019,6/4/2019,3
Art01,LOC_019,16/4/2019,2
Art01,LOC_019,28/5/2019,3
Art01,LOC_020,4/4/2019,4
Art01,LOC_020,9/4/2019,3
Art01,LOC_020,14/4/2019,6
Art01,LOC_020,17/4/2019,9
Art01,LOC_020,22/4/2019,3
Art01,LOC_020,25/4/2019,2
Art01,LOC_020,26/4/2019,3
Art01,LOC_020,27/4/2019,3
Art01,LOC_020,29/4/2019,1
Art01,LOC_020,1/5/2019,4
Art01,LOC_020,2/5/2019,3
Art01,LOC_020,7/5/2019,1
Art01,LOC_020,8/5/2019,1
Art01,LOC_020,9/5/2019,4
Art01,LOC_020,10/5/2019,6
Art01,LOC_020,12/5/2019,3
Art01,LOC_020,14/5/2019,1
Art01,LOC_020,16/5/2019,2
Art01,LOC_020,17/5/2019,6
Art01,LOC_020,19/5/2019,4
Art01,LOC_020,22/5/2019,3
Art01,LOC_020,23/5/2019,3
Art01,LOC_020,24/5/2019,4
Art01,LOC_020,31/5/2019,1
Art01,LOC_020,2/6/2019,1
Art01,LOC_020,5/6/2019,3
Art01,LOC_020,7/6/2019,1
Art01,LOC_020,8/6/2019,2
Art01,LOC_020,10/6/2019,1
Art01,LOC_020,11/6/2019,2
Art01,LOC_020,14/6/2019,4
Art01,LOC_020,15/6/2019,3
Art01,LOC_020,17/6/2019,1
Art01,LOC_020,22/6/2019,3
Art01,LOC_020,23/6/2019,1
Art01,LOC_021,22/5/2019,3
Art01,LOC_021,24/5/2019,3
Art01,LOC_021,27/5/2019,3
Art01,LOC_021,7/6/2019,1
Art01,LOC_022,3/4/2019,1
Art01,LOC_022,5/4/2019,1
Art01,LOC_022,7/4/2019,1
Art01,LOC_022,8/4/2019,3
Art01,LOC_022,9/4/2019,2
Art01,LOC_022,11/4/2019,1
Art01,LOC_022,13/4/2019,5
Art01,LOC_022,14/4/2019,1
Art01,LOC_022,15/4/2019,2
Art01,LOC_022,17/4/2019,1
Art01,LOC_022,18/4/2019,2
Art01,LOC_022,19/4/2019,3
Art01,LOC_022,24/4/2019,3
Art01,LOC_022,27/4/2019,4
Art01,LOC_022,29/4/2019,1
Art01,LOC_022,2/5/2019,1
Art01,LOC_022,3/5/2019,3
Art01,LOC_022,5/5/2019,1
Art01,LOC_022,8/5/2019,2
Art01,LOC_022,9/5/2019,1
Art01,LOC_022,11/5/2019,3
Art01,LOC_022,13/5/2019,4
Art01,LOC_022,14/5/2019,5
Art01,LOC_022,17/5/2019,1
Art01,LOC_022,18/5/2019,1
Art01,LOC_022,19/5/2019,1
Art01,LOC_022,28/5/2019,3
Art01,LOC_022,30/5/2019,6
Art01,LOC_022,31/5/2019,3
Art01,LOC_022,4/6/2019,3
Art01,LOC_022,6/6/2019,1
Art01,LOC_022,9/6/2019,2
Art01,LOC_022,13/6/2019,4
Art01,LOC_022,17/6/2019,2
Art01,LOC_022,18/6/2019,2
Art01,LOC_022,20/6/2019,3
Art01,LOC_022,21/6/2019,1
Art01,LOC_022,22/6/2019,1
Art01,LOC_022,23/6/2019,2
Art01,LOC_023,16/5/2019,3
Art01,LOC_023,26/5/2019,1
Art01,LOC_023,30/5/2019,3
Art01,LOC_023,31/5/2019,2
Art01,LOC_023,1/6/2019,2
Art01,LOC_023,6/6/2019,1
Art01,LOC_023,7/6/2019,1
Art01,LOC_023,16/6/2019,3
Art01,LOC_023,19/6/2019,2
Art01,LOC_023,21/6/2019,2
Art01,LOC_024,1/4/2019,2
Art01,LOC_024,2/4/2019,9
Art01,LOC_024,3/4/2019,4
Art01,LOC_024,6/4/2019,4
Art01,LOC_024,7/4/2019,6
Art01,LOC_024,9/4/2019,3
Art01,LOC_024,11/4/2019,6
Art01,LOC_024,12/4/2019,2
Art01,LOC_024,15/4/2019,1
Art01,LOC_024,17/4/2019,4
Art01,LOC_024,20/4/2019,2
Art01,LOC_024,21/4/2019,2
Art01,LOC_024,22/4/2019,6
Art01,LOC_024,23/4/2019,7
Art01,LOC_024,24/4/2019,1
Art01,LOC_024,25/4/2019,2
Art01,LOC_024,26/4/2019,7
Art01,LOC_024,27/4/2019,3
Art01,LOC_024,29/4/2019,11
Art01,LOC_024,30/4/2019,7
Art01,LOC_024,1/5/2019,1
Art01,LOC_024,2/5/2019,1
Art01,LOC_024,3/5/2019,1
Art01,LOC_024,4/5/2019,2
Art01,LOC_024,5/5/2019,11
Art01,LOC_024,6/5/2019,4
Art01,LOC_024,7/5/2019,1
Art01,LOC_024,8/5/2019,2
Art01,LOC_024,9/5/2019,1
Art01,LOC_024,10/5/2019,1
Art01,LOC_024,11/5/2019,2
Art01,LOC_024,13/5/2019,2
Art01,LOC_024,15/5/2019,2
Art01,LOC_024,16/5/2019,1
Art01,LOC_024,17/5/2019,5
Art01,LOC_024,18/5/2019,1
Art01,LOC_024,20/5/2019,5
Art01,LOC_024,21/5/2019,3
Art01,LOC_024,23/5/2019,5
Art01,LOC_024,24/5/2019,1
Art01,LOC_024,27/5/2019,2
Art01,LOC_024,28/5/2019,1
Art01,LOC_024,29/5/2019,4
Art01,LOC_024,30/5/2019,1
Art01,LOC_024,31/5/2019,1
Art01,LOC_024,2/6/2019,1
Art01,LOC_024,4/6/2019,3
Art01,LOC_024,5/6/2019,3
Art01,LOC_024,7/6/2019,1
Art01,LOC_024,8/6/2019,2
Art01,LOC_024,11/6/2019,3
Art01,LOC_024,12/6/2019,1
Art01,LOC_024,15/6/2019,2
Art01,LOC_024,17/6/2019,1
Art01,LOC_024,18/6/2019,2
Art01,LOC_024,20/6/2019,1
Art01,LOC_024,21/6/2019,1
Art01,LOC_024,23/6/2019,1
Art01,LOC_025,1/4/2019,3
Art01,LOC_025,2/4/2019,6
Art01,LOC_025,9/4/2019,9
Art01,LOC_025,10/4/2019,6
Art01,LOC_025,11/4/2019,3
Art01,LOC_025,12/4/2019,3
Art01,LOC_025,13/4/2019,1
Art01,LOC_025,17/4/2019,3
Art01,LOC_025,20/4/2019,3
Art01,LOC_025,22/4/2019,3
Art01,LOC_025,24/4/2019,6
Art01,LOC_025,25/4/2019,6
Art01,LOC_025,26/4/2019,3
Art01,LOC_025,27/4/2019,1
Art01,LOC_025,28/4/2019,1
Art01,LOC_025,29/4/2019,6
Art01,LOC_025,1/5/2019,1
Art01,LOC_025,2/5/2019,1
Art01,LOC_025,5/5/2019,3
Art01,LOC_025,6/5/2019,6
Art01,LOC_025,9/5/2019,3
Art01,LOC_025,10/5/2019,4
Art01,LOC_025,12/5/2019,1
Art01,LOC_025,13/5/2019,4
Art01,LOC_025,16/5/2019,3
Art01,LOC_025,17/5/2019,2
Art01,LOC_025,18/5/2019,2
Art01,LOC_025,21/5/2019,3
Art01,LOC_025,22/5/2019,3
Art01,LOC_025,23/5/2019,3
Art01,LOC_025,25/5/2019,9
Art01,LOC_025,27/5/2019,3
Art01,LOC_025,30/5/2019,1
Art01,LOC_025,31/5/2019,7
Art01,LOC_025,5/6/2019,3
Art01,LOC_025,6/6/2019,2
Art01,LOC_025,7/6/2019,1
Art01,LOC_025,8/6/2019,3
Art01,LOC_025,10/6/2019,2
Art01,LOC_025,11/6/2019,1
Art01,LOC_025,12/6/2019,8
Art01,LOC_025,13/6/2019,6
Art01,LOC_025,14/6/2019,1
Art01,LOC_025,17/6/2019,6
Art01,LOC_025,19/6/2019,3
Art01,LOC_025,20/6/2019,3
Art01,LOC_025,22/6/2019,4
Art01,LOC_025,23/6/2019,3
Art01,LOC_026,2/4/2019,2
Art01,LOC_026,4/4/2019,5
Art01,LOC_026,8/4/2019,2
Art01,LOC_026,9/4/2019,1
Art01,LOC_026,15/4/2019,4
Art01,LOC_026,17/4/2019,1
Art01,LOC_026,19/4/2019,1
Art01,LOC_026,20/4/2019,1
Art01,LOC_026,22/4/2019,1
Art01,LOC_026,29/4/2019,1
Art01,LOC_026,11/5/2019,3
Art01,LOC_026,24/5/2019,1
Art01,LOC_026,25/5/2019,5
Art01,LOC_026,2/6/2019,3
Art01,LOC_026,3/6/2019,1
Art01,LOC_026,6/6/2019,2
Art01,LOC_026,17/6/2019,3
Art01,LOC_026,18/6/2019,1
Art01,LOC_026,19/6/2019,4
Art01,LOC_026,22/6/2019,3
Art01,LOC_027,3/4/2019,1
Art01,LOC_027,6/4/2019,2
Art01,LOC_027,7/4/2019,1
Art01,LOC_027,9/4/2019,1
Art01,LOC_027,10/4/2019,2
Art01,LOC_027,20/4/2019,1
Art01,LOC_027,23/4/2019,1
Art01,LOC_027,16/5/2019,3
Art01,LOC_027,7/6/2019,1
Art01,LOC_027,8/6/2019,1
Art01,LOC_027,10/6/2019,1
Art01,LOC_027,11/6/2019,1
Art01,LOC_027,12/6/2019,2
Art01,LOC_027,18/6/2019,2
Art01,LOC_027,20/6/2019,4
Art01,LOC_027,23/6/2019,3
Art01,LOC_028,1/4/2019,6
Art01,LOC_028,2/4/2019,4
Art01,LOC_028,5/4/2019,6
Art01,LOC_028,7/4/2019,3
Art01,LOC_028,9/4/2019,2
Art01,LOC_028,10/4/2019,4
Art01,LOC_028,11/4/2019,3
Art01,LOC_028,21/4/2019,3
Art01,LOC_028,22/4/2019,3
Art01,LOC_028,23/4/2019,2
Art01,LOC_028,25/4/2019,3
Art01,LOC_028,28/4/2019,3
Art01,LOC_028,2/5/2019,1
Art01,LOC_028,7/5/2019,3
Art01,LOC_028,8/5/2019,5
Art01,LOC_028,10/5/2019,6
Art01,LOC_028,16/5/2019,3
Art01,LOC_028,17/5/2019,1
Art01,LOC_028,24/5/2019,4
Art01,LOC_028,25/5/2019,1
Art01,LOC_028,26/5/2019,1
Art01,LOC_028,28/5/2019,3
Art01,LOC_028,30/5/2019,4
Art01,LOC_028,31/5/2019,2
Art01,LOC_028,1/6/2019,1
Art01,LOC_028,2/6/2019,1
Art01,LOC_028,3/6/2019,2
Art01,LOC_028,4/6/2019,1
Art01,LOC_028,6/6/2019,4
Art01,LOC_028,11/6/2019,4
Art01,LOC_028,16/6/2019,4
Art01,LOC_028,22/6/2019,6
Art01,LOC_028,23/6/2019,3
Art01,LOC_029,13/4/2019,3
Art01,LOC_029,22/4/2019,3
Art01,LOC_029,2/5/2019,1
Art01,LOC_029,6/5/2019,1
Art01,LOC_029,8/5/2019,1
Art01,LOC_029,14/5/2019,3
Art01,LOC_029,3/6/2019,3
Art01,LOC_029,8/6/2019,2
Art01,LOC_029,15/6/2019,1
Art01,LOC_029,19/6/2019,1
Art01,LOC_030,1/4/2019,3
Art01,LOC_030,4/4/2019,2
Art01,LOC_030,7/4/2019,3
Art01,LOC_030,13/4/2019,2
Art01,LOC_030,16/4/2019,1
Art01,LOC_030,19/4/2019,1
Art01,LOC_030,29/4/2019,1
Art01,LOC_030,30/4/2019,1
Art01,LOC_030,1/5/2019,1
Art01,LOC_030,2/5/2019,4
Art01,LOC_030,5/5/2019,2
Art01,LOC_030,7/5/2019,4
Art01,LOC_030,10/5/2019,4
Art01,LOC_030,11/5/2019,1
Art01,LOC_030,16/5/2019,1
Art01,LOC_030,18/5/2019,6
Art01,LOC_030,20/5/2019,1
Art01,LOC_030,23/5/2019,1
Art01,LOC_030,24/5/2019,4
Art01,LOC_030,25/5/2019,1
Art01,LOC_030,26/5/2019,1
Art01,LOC_030,30/5/2019,3
Art01,LOC_030,8/6/2019,3
Art01,LOC_030,12/6/2019,3
Art01,LOC_030,13/6/2019,2
Art01,LOC_030,17/6/2019,3
Art01,LOC_030,23/6/2019,1
Art01,LOC_031,1/4/2019,3
Art01,LOC_031,4/4/2019,1
Art01,LOC_031,5/4/2019,1
Art01,LOC_031,7/4/2019,1
Art01,LOC_031,9/4/2019,1
Art01,LOC_031,11/4/2019,3
Art01,LOC_031,13/4/2019,2
Art01,LOC_031,14/4/2019,1
Art01,LOC_031,15/4/2019,3
Art01,LOC_031,16/4/2019,1
Art01,LOC_031,17/4/2019,6
Art01,LOC_031,18/4/2019,6
Art01,LOC_031,20/4/2019,2
Art01,LOC_031,25/4/2019,9
Art01,LOC_031,30/4/2019,3
Art01,LOC_031,4/5/2019,3
Art01,LOC_031,8/5/2019,1
Art01,LOC_031,9/5/2019,2
Art01,LOC_031,11/5/2019,1
